ID,EZI_ROAD_NAME,ROAD_NAME,ROAD_TYPE,AGE_LESS_THAN_15YRS_PCNT,AGE_15_24YRS_PCNT,AGE_25_44YRS_PCNT,AGE_45_64YRS_PCNT,AGE_18YRS_OVER_PCNT,AGE_65YRS_OVER_PCNT,SEO_PERSONS_PCNT,FC_COUPLE_NO_CHILDREN_PCNT,FC_COUPLE_WITH_CHILDREN_PCNT,FC_SINGLE_PARENT,CARS_ZERO_HH_PCNT,CARS_ONE_HH_PCNT,CARS_TWO_OR_MORE_HH_PCNT,DWELLING_SEP_HOUSE_PCNT,DWELLING_SEMID_RO_OR_TCE_H_TH_P,DWELLING_FLAT_UNIT_APART_PCNT,OCCUPATION_WHITE_COLLAR_PCNT,OCCUPATION_BLUE_COLLAR_PCNT,SEIFA,Commercial%,Industrial%,Residential%,Parkland%,Primary_Production%,Lq_Licenses,Intersection,Supermarket,primary_school,secondary_school,km_post,traffic_signal
4486,MCIVOR ROAD,MCIVOR,ROAD,0.175977654,0.125698324,0.187150838,0.337988827,0.790502793,0.173184358,0.884057971,0.34375,0.4375,0.15625,0,0.163934426,0.81147541,0.974137931,0,0.025862069,0.619565217,0.380434783,997,0,0,0.380589686,0,0.619410314,0,non-Intersection,0,0,0,0,0
8432,IRON BARK DRIVE,IRON BARK,DRIVE,0.198895028,0.091160221,0.182320442,0.35359116,0.751381215,0.174033149,0.820936639,0.481481481,0.419753086,0.111111111,0,0.330275229,0.642201835,0.972727273,0,0,0.652694611,0.335329341,1050,0,0,0.488072952,0.511927048,0,0,non-Intersection,0,0,0,0,0
5280,MILBURN ROAD,MILBURN,ROAD,0.152610442,0.080321285,0.184738956,0.333333333,0.819277108,0.248995984,0.944,0.492753623,0.289855072,0.173913043,0.036363636,0.181818182,0.7,1,0,0,0.525773196,0.350515464,927,0,0,0,0,0.079454676,0,non-Intersection,0,0,0,0,0
4343,BARKSTEAD SOUTH ROAD,BARKSTEAD SOUTH,ROAD,0.202531646,0.06835443,0.192405063,0.387341772,0.774683544,0.149367089,0.936061381,0.426086957,0.408695652,0.156521739,0,0.119402985,0.828358209,1,0,0,0.573604061,0.350253807,1019,0,0,0,1,0,0,non-Intersection,0,0,0,0,0
4700,YANKEE FLAT ROAD,YANKEE FLAT,ROAD,0.192878338,0.091988131,0.210682493,0.299703264,0.762611276,0.204747774,0.892966361,0.426966292,0.460674157,0.08988764,0,0.179245283,0.783018868,1,0,0,0.755244755,0.188811189,1108,0,0,0,0,0.138008936,0,non-Intersection,0,0,0,0,0
3608,ALLEN STREET,ALLEN,STREET,0.138666667,0.058666667,0.205333333,0.346666667,0.837333333,0.250666667,0.884615385,0.553191489,0.35106383,0.138297872,0.045454545,0.422077922,0.487012987,0.959731544,0,0.040268456,0.717791411,0.251533742,1025,0,0,0.716499726,0.242645254,0,0,non-Intersection,0,0,0,1,0
8709,PRINCES HIGHWAY,PRINCES,HIGHWAY,0.184549356,0.107296137,0.193133047,0.309012876,0.768240343,0.206008584,0.862745098,0.439393939,0.272727273,0.212121212,0.053571429,0.4375,0.4375,0.711711712,0.09009009,0.198198198,0.483870968,0.419354839,926,0.989888876,0,0.010111124,0,0,5,Intersection,0,0,0,1,1
364,BOURKE STREET,BOURKE,STREET,0.127604167,0.114583333,0.2578125,0.3203125,0.846354167,0.1796875,0.887218045,0.411214953,0.429906542,0.14953271,0.046666667,0.32,0.613333333,0.865771812,0.134228188,0,0.61878453,0.325966851,950,0,0,0.954197048,0,0.045802952,0,non-Intersection,0,0,0,0,0
5496,MAIN NEERIM ROAD,MAIN NEERIM,ROAD,0.137931034,0.10591133,0.130541872,0.374384236,0.802955665,0.251231527,0.87032419,0.490196078,0.352941176,0.18627451,0,0.253246753,0.727272727,1,0,0,0.627659574,0.335106383,993,0,0,0,0,1,1,non-Intersection,0,0,0,1,0
8985,BACK BEACH ROAD,BACK BEACH,ROAD,0.265168539,0.069662921,0.26741573,0.307865169,0.707865169,0.08988764,0.836601307,0.302752294,0.412844037,0.211009174,0.056962025,0.341772152,0.525316456,1,0,0,0.6,0.327777778,926,0,0,0.455179158,0,0.544820842,0,non-Intersection,0,0,0,0,0
